"2018081402-078_DOCQuality - RawData"
"Wavelength nm.","Abs."
200.00,0.725
201.00,0.666
202.00,0.666
203.00,0.739
204.00,0.714
205.00,0.775
206.00,0.831
207.00,0.680
208.00,0.652
209.00,0.651
210.00,0.685
211.00,0.708
212.00,0.657
213.00,0.629
214.00,0.737
215.00,0.748
216.00,0.758
217.00,0.735
218.00,0.691
219.00,0.701
220.00,0.632
221.00,0.683
222.00,0.733
223.00,0.758
224.00,0.743
225.00,0.756
226.00,0.762
227.00,0.802
228.00,0.768
229.00,0.775
230.00,0.771
231.00,0.827
232.00,0.806
233.00,0.818
234.00,0.788
235.00,0.850
236.00,0.910
237.00,0.930
238.00,0.904
239.00,0.964
240.00,0.970
241.00,0.950
242.00,0.961
243.00,0.935
244.00,0.975
245.00,1.031
246.00,1.038
247.00,1.049
248.00,0.975
249.00,1.038
250.00,1.004
251.00,1.026
252.00,1.104
253.00,1.094
254.00,1.036
255.00,1.049
256.00,1.046
257.00,1.060
258.00,1.104
259.00,1.070
260.00,1.123
261.00,1.090
262.00,1.093
263.00,1.127
264.00,1.222
265.00,1.399
266.00,1.501
267.00,1.708
268.00,1.953
269.00,2.121
270.00,2.303
271.00,2.535
272.00,2.698
273.00,2.799
274.00,2.893
275.00,3.068
276.00,3.135
277.00,3.215
278.00,3.263
279.00,3.436
280.00,3.436
281.00,3.524
282.00,3.436
283.00,3.436
284.00,3.436
285.00,3.524
286.00,3.374
287.00,3.374
288.00,3.215
289.00,3.039
290.00,2.836
291.00,2.661
292.00,2.478
293.00,2.288
294.00,2.116
295.00,1.951
296.00,1.806
297.00,1.666
298.00,1.532
299.00,1.412
300.00,1.300
301.00,1.196
302.00,1.100
303.00,1.011
304.00,0.930
305.00,0.857
306.00,0.790
307.00,0.726
308.00,0.667
309.00,0.613
310.00,0.564
311.00,0.519
312.00,0.478
313.00,0.440
314.00,0.408
315.00,0.376
316.00,0.347
317.00,0.320
318.00,0.294
319.00,0.272
320.00,0.249
321.00,0.229
322.00,0.211
323.00,0.194
324.00,0.179
325.00,0.164
326.00,0.152
327.00,0.140
328.00,0.129
329.00,0.118
330.00,0.109
331.00,0.100
332.00,0.092
333.00,0.085
334.00,0.078
335.00,0.072
336.00,0.067
337.00,0.062
338.00,0.057
339.00,0.053
340.00,0.049
341.00,0.045
342.00,0.041
343.00,0.038
344.00,0.036
345.00,0.033
346.00,0.030
347.00,0.028
348.00,0.026
349.00,0.024
350.00,0.022
351.00,0.021
352.00,0.019
353.00,0.018
354.00,0.016
355.00,0.015
356.00,0.014
357.00,0.013
358.00,0.012
359.00,0.011
360.00,0.010
361.00,0.010
362.00,0.009
363.00,0.008
364.00,0.007
365.00,0.007
366.00,0.006
367.00,0.006
368.00,0.005
369.00,0.005
370.00,0.004
371.00,0.004
372.00,0.003
373.00,0.003
374.00,0.003
375.00,0.003
376.00,0.003
377.00,0.003
378.00,0.002
379.00,0.002
380.00,0.002
381.00,0.002
382.00,0.001
383.00,0.001
384.00,0.001
385.00,-0.001
386.00,-0.000
387.00,-0.001
388.00,-0.001
389.00,-0.001
390.00,-0.002
391.00,-0.002
392.00,-0.002
393.00,-0.002
394.00,-0.003
395.00,-0.003
396.00,-0.003
397.00,-0.003
398.00,-0.003
399.00,-0.004
400.00,-0.004
401.00,-0.004
402.00,-0.004
403.00,-0.004
404.00,-0.004
405.00,-0.004
406.00,-0.004
407.00,-0.005
408.00,-0.005
409.00,-0.005
410.00,-0.005
411.00,-0.005
412.00,-0.005
413.00,-0.005
414.00,-0.005
415.00,-0.005
416.00,-0.005
417.00,-0.005
418.00,-0.005
