"2018081402-03_DOCQuality - RawData"
"Wavelength nm.","Abs."
200.00,0.805
201.00,0.689
202.00,0.725
203.00,0.748
204.00,0.691
205.00,0.714
206.00,0.714
207.00,0.725
208.00,0.691
209.00,0.680
210.00,0.735
211.00,0.714
212.00,0.659
213.00,0.652
214.00,0.701
215.00,0.737
216.00,0.674
217.00,0.641
218.00,0.739
219.00,0.704
220.00,0.678
221.00,0.634
222.00,0.741
223.00,0.756
224.00,0.766
225.00,0.766
226.00,0.748
227.00,0.745
228.00,0.816
229.00,0.818
230.00,0.771
231.00,0.806
232.00,0.899
233.00,0.830
234.00,0.760
235.00,0.798
236.00,0.862
237.00,0.876
238.00,0.910
239.00,0.899
240.00,0.913
241.00,0.887
242.00,0.964
243.00,0.963
244.00,0.975
245.00,0.975
246.00,0.986
247.00,0.964
248.00,0.993
249.00,0.986
250.00,0.964
251.00,0.996
252.00,1.049
253.00,1.006
254.00,1.060
255.00,1.110
256.00,1.060
257.00,1.069
258.00,1.070
259.00,1.080
260.00,1.070
261.00,1.090
262.00,1.099
263.00,1.127
264.00,1.187
265.00,1.316
266.00,1.505
267.00,1.710
268.00,1.951
269.00,2.114
270.00,2.334
271.00,2.504
272.00,2.636
273.00,2.754
274.00,2.853
275.00,2.960
276.00,3.101
277.00,3.175
278.00,3.263
279.00,3.374
280.00,3.524
281.00,3.374
282.00,3.436
283.00,3.436
284.00,3.436
285.00,3.436
286.00,3.374
287.00,3.311
288.00,3.175
289.00,3.014
290.00,2.853
291.00,2.661
292.00,2.485
293.00,2.288
294.00,2.116
295.00,1.951
296.00,1.804
297.00,1.666
298.00,1.534
299.00,1.414
300.00,1.301
301.00,1.197
302.00,1.100
303.00,1.012
304.00,0.932
305.00,0.860
306.00,0.792
307.00,0.728
308.00,0.669
309.00,0.615
310.00,0.566
311.00,0.520
312.00,0.479
313.00,0.442
314.00,0.409
315.00,0.376
316.00,0.347
317.00,0.320
318.00,0.295
319.00,0.273
320.00,0.250
321.00,0.230
322.00,0.212
323.00,0.195
324.00,0.180
325.00,0.165
326.00,0.152
327.00,0.140
328.00,0.129
329.00,0.119
330.00,0.109
331.00,0.101
332.00,0.093
333.00,0.085
334.00,0.078
335.00,0.073
336.00,0.067
337.00,0.062
338.00,0.057
339.00,0.053
340.00,0.049
341.00,0.045
342.00,0.042
343.00,0.039
344.00,0.036
345.00,0.033
346.00,0.031
347.00,0.028
348.00,0.026
349.00,0.025
350.00,0.023
