"2018081402-04_DOCQuality - RawData"
"Wavelength nm.","Abs."
200.00,0.607
201.00,0.607
202.00,0.582
203.00,0.673
204.00,0.603
205.00,0.607
206.00,0.691
207.00,0.640
208.00,0.578
209.00,0.714
210.00,0.659
211.00,0.632
212.00,0.657
213.00,0.662
214.00,0.691
215.00,0.724
216.00,0.623
217.00,0.669
218.00,0.668
219.00,0.689
220.00,0.645
221.00,0.583
222.00,0.668
223.00,0.704
224.00,0.673
225.00,0.725
226.00,0.756
227.00,0.739
228.00,0.764
229.00,0.767
230.00,0.750
231.00,0.759
232.00,0.816
233.00,0.809
234.00,0.756
235.00,0.787
236.00,0.828
237.00,0.898
238.00,0.876
239.00,0.887
240.00,0.939
241.00,0.953
242.00,0.913
243.00,0.839
244.00,0.851
245.00,0.935
246.00,0.935
247.00,0.887
248.00,0.953
249.00,0.942
250.00,0.935
251.00,0.993
252.00,1.027
253.00,0.975
254.00,1.004
255.00,0.986
256.00,1.036
257.00,1.005
258.00,1.031
259.00,1.060
260.00,0.997
261.00,0.997
262.00,1.056
263.00,1.090
264.00,1.122
265.00,1.252
266.00,1.505
267.00,1.741
268.00,1.924
269.00,2.085
270.00,2.271
271.00,2.410
272.00,2.547
273.00,2.729
274.00,2.786
275.00,2.914
276.00,3.010
277.00,3.215
278.00,3.263
279.00,3.263
280.00,3.524
281.00,3.436
282.00,3.436
283.00,3.436
284.00,3.436
285.00,3.524
286.00,3.374
287.00,3.263
288.00,3.175
289.00,3.014
290.00,2.836
291.00,2.661
292.00,2.478
293.00,2.288
294.00,2.110
295.00,1.947
296.00,1.803
297.00,1.662
298.00,1.531
299.00,1.412
300.00,1.299
301.00,1.195
302.00,1.099
303.00,1.011
304.00,0.930
305.00,0.858
306.00,0.790
307.00,0.726
308.00,0.667
309.00,0.614
310.00,0.564
311.00,0.519
312.00,0.478
313.00,0.440
314.00,0.408
315.00,0.376
316.00,0.347
317.00,0.320
318.00,0.294
319.00,0.272
320.00,0.250
321.00,0.230
322.00,0.212
323.00,0.194
324.00,0.179
325.00,0.165
