"2018081402-09_DOCQuality - RawData"
"Wavelength nm.","Abs."
200.00,0.850
201.00,0.680
202.00,0.750
203.00,0.703
204.00,0.725
205.00,0.758
206.00,0.737
207.00,0.850
208.00,0.758
209.00,0.787
210.00,0.724
211.00,0.703
212.00,0.724
213.00,0.674
214.00,0.703
215.00,0.779
216.00,0.729
217.00,0.725
218.00,0.717
219.00,0.710
220.00,0.678
221.00,0.683
222.00,0.739
223.00,0.796
224.00,0.811
225.00,0.748
226.00,0.799
227.00,0.827
228.00,0.830
229.00,0.808
230.00,0.775
231.00,0.851
232.00,0.850
233.00,0.861
234.00,0.793
235.00,0.869
236.00,0.906
237.00,0.986
238.00,0.975
239.00,0.932
240.00,0.935
241.00,0.899
242.00,0.921
243.00,0.921
244.00,0.961
245.00,1.005
246.00,0.946
247.00,1.026
248.00,1.070
249.00,0.957
250.00,1.015
251.00,1.005
252.00,1.036
253.00,1.069
254.00,1.070
255.00,1.109
256.00,1.070
257.00,1.080
258.00,1.123
259.00,0.998
260.00,1.109
261.00,1.109
262.00,1.055
263.00,1.161
264.00,1.282
265.00,1.313
266.00,1.510
267.00,1.775
268.00,1.951
269.00,2.180
270.00,2.365
271.00,2.535
272.00,2.659
273.00,2.836
274.00,2.937
275.00,3.068
276.00,3.175
277.00,3.223
278.00,3.374
279.00,3.374
280.00,3.763
281.00,3.524
282.00,3.524
283.00,3.524
284.00,3.436
285.00,3.524
286.00,3.436
287.00,3.374
288.00,3.215
289.00,3.073
290.00,2.856
291.00,2.672
292.00,2.485
293.00,2.288
294.00,2.120
295.00,1.954
296.00,1.806
297.00,1.664
298.00,1.534
299.00,1.412
300.00,1.300
301.00,1.195
302.00,1.098
303.00,1.009
304.00,0.928
305.00,0.855
306.00,0.788
307.00,0.724
308.00,0.666
309.00,0.612
310.00,0.562
311.00,0.517
312.00,0.476
313.00,0.439
314.00,0.406
315.00,0.374
316.00,0.345
317.00,0.318
318.00,0.292
319.00,0.270
320.00,0.248
321.00,0.228
322.00,0.210
323.00,0.193
324.00,0.178
325.00,0.163
326.00,0.151
327.00,0.139
328.00,0.128
329.00,0.117
330.00,0.107
331.00,0.099
332.00,0.091
333.00,0.084
334.00,0.077
335.00,0.071
336.00,0.066
337.00,0.061
338.00,0.056
339.00,0.052
340.00,0.048
341.00,0.044
342.00,0.041
343.00,0.037
344.00,0.034
345.00,0.032
346.00,0.029
347.00,0.027
348.00,0.025
349.00,0.023
350.00,0.022
351.00,0.020
352.00,0.019
353.00,0.017
354.00,0.016
355.00,0.015
356.00,0.014
357.00,0.012
358.00,0.011
359.00,0.011
360.00,0.010
361.00,0.009
362.00,0.008
363.00,0.008
364.00,0.007
365.00,0.006
366.00,0.006
367.00,0.005
368.00,0.005
369.00,0.004
370.00,0.004
371.00,0.004
372.00,0.003
373.00,0.003
374.00,0.003
375.00,0.003
376.00,0.003
377.00,0.003
378.00,0.002
379.00,0.002
380.00,0.002
381.00,0.002
382.00,0.001
383.00,0.001
384.00,0.001
385.00,-0.001
386.00,-0.000
387.00,-0.001
388.00,-0.001
389.00,-0.001
390.00,-0.002
391.00,-0.002
392.00,-0.002
393.00,-0.002
394.00,-0.003
395.00,-0.003
396.00,-0.003
397.00,-0.003
398.00,-0.003
399.00,-0.004
400.00,-0.004
401.00,-0.004
402.00,-0.004
403.00,-0.004
404.00,-0.004
405.00,-0.004
406.00,-0.004
407.00,-0.004
408.00,-0.004
409.00,-0.004
410.00,-0.005
411.00,-0.005
412.00,-0.005
413.00,-0.005
414.00,-0.005
415.00,-0.005
416.00,-0.005
417.00,-0.005
418.00,-0.005
419.00,-0.005
420.00,-0.005
421.00,-0.005
422.00,-0.005
423.00,-0.005
424.00,-0.005
425.00,-0.005
426.00,-0.005
427.00,-0.005
428.00,-0.005
429.00,-0.005
430.00,-0.005
431.00,-0.005
432.00,-0.005
433.00,-0.005
434.00,-0.005
435.00,-0.005
436.00,-0.005
437.00,-0.005
438.00,-0.005
439.00,-0.005
440.00,-0.005
441.00,-0.005
442.00,-0.005
443.00,-0.006
444.00,-0.006
445.00,-0.006
446.00,-0.006
447.00,-0.006
448.00,-0.006
449.00,-0.006
450.00,-0.006
451.00,-0.006
452.00,-0.006
453.00,-0.006
454.00,-0.006
455.00,-0.006
456.00,-0.007
457.00,-0.007
458.00,-0.007
459.00,-0.007
460.00,-0.007
461.00,-0.007
462.00,-0.007
463.00,-0.007
464.00,-0.007
465.00,-0.007
466.00,-0.007
467.00,-0.007
468.00,-0.007
469.00,-0.007
470.00,-0.007
471.00,-0.007
472.00,-0.007
473.00,-0.007
474.00,-0.007
475.00,-0.007
476.00,-0.007
477.00,-0.007
478.00,-0.007
479.00,-0.007
480.00,-0.007
481.00,-0.007
482.00,-0.007
483.00,-0.007
484.00,-0.007
485.00,-0.008
486.00,-0.008
487.00,-0.008
488.00,-0.008
489.00,-0.008
490.00,-0.008
491.00,-0.008
492.00,-0.008
493.00,-0.008
494.00,-0.008
495.00,-0.008
496.00,-0.008
497.00,-0.008
498.00,-0.008
499.00,-0.008
500.00,-0.008
501.00,-0.008
502.00,-0.008
503.00,-0.008
504.00,-0.008
505.00,-0.008
506.00,-0.008
507.00,-0.008
508.00,-0.008
509.00,-0.008
510.00,-0.008
511.00,-0.008
512.00,-0.008
513.00,-0.008
514.00,-0.008
515.00,-0.008
516.00,-0.008
517.00,-0.008
518.00,-0.008
519.00,-0.008
520.00,-0.008
521.00,-0.009
522.00,-0.009
523.00,-0.009
524.00,-0.009
525.00,-0.009
526.00,-0.009
527.00,-0.009
528.00,-0.009
529.00,-0.009
530.00,-0.009
531.00,-0.009
532.00,-0.009
533.00,-0.009
534.00,-0.009
535.00,-0.009
536.00,-0.009
537.00,-0.009
538.00,-0.009
539.00,-0.009
540.00,-0.009
541.00,-0.009
542.00,-0.009
543.00,-0.009
544.00,-0.009
545.00,-0.009
546.00,-0.009
547.00,-0.009
548.00,-0.009
549.00,-0.009
550.00,-0.009
551.00,-0.009
552.00,-0.009
553.00,-0.009
554.00,-0.009
555.00,-0.009
556.00,-0.009
557.00,-0.009
558.00,-0.009
559.00,-0.009
560.00,-0.009
561.00,-0.009
562.00,-0.009
563.00,-0.009
